id,score,ratings,name
7,4.7,63.0,Jinsei Sushi
14,4.6,44.0,Panera (521 Fieldstown Road)
16,5.0,20.0,Jeni's Splendid Ice Cream (Pepper Place)
19,4.9,48.0,Falafel Cafe
20,3.7,19.0,MrBeast Burger (838 Odum Road)
27,4.7,100.0,Ruscelli's Food Truck at Mojo Pub
35,4.6,21.0,Starbucks (Hwy 11 and Avenue W)
36,4.8,24.0,"Moe's Southwest Grill (655 Fieldstown Road, Suite #158)"
37,4.3,24.0,La Tia Paisa Taco Shop
38,4.8,39.0,CHOP N FRESH
39,4.8,62.0,Underground Vegan
40,4.4,21.0,Cicis (808 Greensprings Highway Suite 132)
41,4.7,100.0,McAlister's Deli  (1801 4th Avenue South)
42,4.7,23.0,"Firehouse Subs (3477  Lowery Parkway, Suite 115)"
43,4.1,91.0,Taco Bell (2300 Bessemer Rd.)
44,4.9,17.0,Dreamcakes Bakery
53,4.3,29.0,Chez Lulu
54,4.7,56.0,Bayleaf Authentic Indian Cuisine
55,4.8,100.0,Sushi Village (Crestwood Blvd)
62,4.3,79.0,Moon Star Chinese Asian &amp; Wings
63,4.6,59.0,Sol Azteca
67,4.2,50.0,Egg roll express
68,4.3,100.0,Los Arcos Mexican Restaurant
69,4.3,100.0,New China Town
70,4.8,52.0,Fuji Hibachi Express 
71,4.3,100.0,Sitar
73,4.3,19.0,Rice Bowl
117,3.8,18.0,Tin Roof
120,4.2,18.0,Taqueria Los Primos
123,4.4,18.0,Top That Grille II
125,4.6,100.0,Big Bad Breakfast (1926 29th Ave S)
127,4.7,68.0,Chick-fil-A (385 Fieldstown Rd)
131,4.3,18.0,Ruth's Chris Steak House Brimingham (2300 Woodcrest Pl)
132,4.3,47.0,Ruby Sunshine (Homewood)
133,4.8,49.0,First Watch (Vestavia)
137,4.6,54.0,Post Office Pies Mountain Brook
139,4.7,18.0,Dunkin (300 Commons Dr)
141,4.3,15.0,Pizza Passion
143,4.1,51.0,Wings  R King (2802 Lakeshore)
147,4.9,62.0,Taqueria Juarez
148,4.9,16.0,Olipita Mediterranean and American Grill
149,4.4,100.0,Little Italy's Pizza and Pints
150,4.7,100.0,Nothing But Noodles (Mountain Brook)
151,4.4,21.0,Urbano Taco -Bar
153,4.1,26.0,Market Fresh (2100 7TH AVE S)
155,4.7,96.0,Little Donkey Mexican Restaurant | Homewood
156,4.3,76.0,The Juicy Seafood
157,5.0,11.0,Wasabi Juan's (Downtown)
163,4.6,100.0,Newk's Eatery (611 Richard Arrington Jr Blvd S)
164,3.5,13.0,Cosmic Wings - 5 Points West
165,3.8,80.0,Huddle House (2751 Allison Bonnet Memorial Hwy)
166,4.7,55.0,Panera (1400 University Blvd)
167,4.9,100.0,Greenhouse
171,3.5,68.0,Denny's (224 Daniel Payne Drive N)
173,4.5,97.0,The Purple Onion (Hueytown)
176,4.3,100.0,The Purple Onion (Lakeview)
179,4.3,100.0,Wings R King (Hoover)
180,4.7,73.0,Firehouse Subs (Homewood)
181,4.5,43.0,Gus's World Famous Fried Chicken (Birmingham)
183,4.0,55.0,Wylam Wings &amp; Things
186,4.1,46.0,Wings Plus V &amp; Grill
187,4.1,25.0,Wendy's  (213 State Farm Pkwy)
189,4.2,86.0,A-Wings (Montclair Rd)
190,4.3,100.0,The Purple Onion (Hoover)
191,4.1,100.0,Wings R King (Birmingham/Tarrant)
192,4.4,17.0,Overtime Grill &amp; Bar
193,4.7,30.0,B&amp;W Philly Steaks
195,4.4,15.0,Dairy Queen Grill &amp; Chill (1349 Hueytown Rd)
196,4.1,61.0,Steak-Out
197,4.7,35.0,Jim ‘N Nick’s Bar-B-Q (Gardendale)
198,4.0,11.0,KFC (1800 20th Street Ensley)
199,4.6,100.0,Rodney Scott's BBQ (Birmingham)
200,4.2,33.0,MrBeast Burger (2751 Allison-Bonnett Memorial Drive)
201,4.3,100.0,O'Charley's (1709 Fulton Rd)
202,4.4,100.0,Wayback Burger (1801 4Th Avenue South Suite 103)
203,4.4,26.0,Zaxby's (2880 Allison-Bonnett Memorial Dr)
206,3.2,16.0,Burger King (1484 Forestdale Blvd)
207,4.4,64.0,Cracker Barrel Old Country Store (901 Fieldstown Road)
208,4.0,29.0,McDonald's® (1309 FORESTDALE BLVD)
209,4.7,74.0,Five Guys AL-1183 3345 Lowery Pkwy
213,4.6,100.0,De Vinci's Pizza
215,4.8,100.0,Starbucks (20th Street and 3rd Ave.)
216,4.8,100.0,Shiki Thai Sushi Restaurant
217,4.8,100.0,Surin West
218,4.3,13.0,Pink Balloon
220,4.5,100.0,Outback Steakhouse (1725 Fulton Road)
221,4.5,100.0,Dreamland BBQ (Birmingham)
222,4.1,28.0,Arby's (996 Forestdale Blvd)
223,4.7,100.0, Maki Fresh (Cahaba Village Plz)
224,4.6,100.0,Mr. Chen's Authentic Chinese Restaurant
230,4.7,57.0,Starbucks (Magnolia City Place)
232,4.3,100.0,The Seafood King (Homewood)
233,4.7,29.0,"Tropical Smoothie Cafe (225 State Farm Parkway, Suite 101)"
